A,570
B,254
C,241
D,82
E,426
F,216
G,247
H,1011
I,195
J,190
K,109
L,450
M,195
N,294
O,933
P,232
Q,1046
R,133
S,304
T,706
U,132
V,107
W,488
X,897
Y,253
Z,289
